description,carb,fat,energy,protein,country,serving_type,queries
"['Sports drink (Gatorade G)', 'Potato chips, lightly salted']",70.33,20.13,479.83,3.82,USA,metric,"For my snack, I’m enjoying 620 grams of Gatorade G along with 57 grams of lightly salted potato chips."
"['Roll, sweet, cinnamon bun, frosted', 'Soft drink, cola, decaffeinated']",139.95999999999998,40.71,945.76,6.81,USA,metric,"For my snack, I'm enjoying a 153g cinnamon bun with frosting and a 620g decaffeinated cola."
"['Chicken dinner, NFS, frozen meal']",41.34,13.35,393.12,27.3,USA,metric,I’m eating a frozen chicken dinner that weighs 312 grams for dinner.
"['Bread, white, toasted']",13.52,0.98,74.25,2.59,USA,metric,I have 25 grams of toasted white bread on my plate for dinner.
"['Egg roll, meatless']",19.21,9.05,172.16,3.6,USA,metric,"For lunch, I'm having a 64-gram meatless egg roll."
"['Egg, cheese, and bacon griddle cake sandwich']",44.0,22.16,456.96,20.21,USA,metric,"I just made a 168g sandwich with egg, cheese, and bacon on a griddle for breakfast."
"['Pear, raw', 'Orange, raw']",45.510000000000005,0.43,174.98,2.1,USA,metric,"For a snack, I’m having a raw pear that weighs about 180 grams and a raw orange that’s 154 grams."
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Biscuit, home recipe', 'Mustard', 'Pork sausage']",48.69,16.97,387.71,11.42,USA,metric,"For breakfast, I’ve got some orange juice (248 grams), a homemade biscuit (45 grams), a little mustard (5 grams), and 35 grams of pork sausage."
"[""Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar)""]",25.02,3.21,135.05,1.56,USA,metric,I’m enjoying a 37-gram Kellogg's Nutri-Grain cereal bar for a snack.
"['Potato chips, lightly salted', 'Italian sausage', 'Water, bottled, unsweetened', 'Roll, white, hot dog bun']",39.120000000000005,31.3,523.5699999999999,19.93,USA,metric,"Lunch today consists of 28 grams of potato chips, 75 grams of Italian sausage in a 45-gram hot dog bun, and I'm drinking 360 grams of unsweetened bottled water."
"['Coffee, Cappuccino']",6.62,2.38,64.8,4.1,USA,metric,I just brewed a cappuccino that weighs 240 grams for my snack.
"['Water, bottled, unsweetened', 'Banana, raw']",28.78,0.42,112.14,1.37,USA,metric,I grabbed 507 grams of bottled water and a 126-gram banana for my snack.
"['Tea, hot, herbal', 'Sardines, canned in oil', 'Cheese, Cheddar', 'Egg, whole, boiled or poached', 'Water, tap', 'Honey', 'Bread, whole wheat, toasted']",33.36,22.36,487.49,37.410000000000004,USA,metric,"For breakfast, I'm having 240 grams of hot herbal tea, 92 grams of canned sardines in oil, and 50 grams of a boiled egg. I've also got 33 grams of toasted whole wheat bread with 20 grams of honey, a bit of cheddar cheese weighing 17 grams, and a side of 240 grams of tap water."
"['Pizza with extra meat, medium crust', 'Orange juice, 100%, canned, bottled or in a carton']",54.24,18.75,471.76,21.62,USA,metric,"This morning, I’m enjoying 150 grams of extra meat pizza with a can of orange juice that’s 124 grams."
"['Potato chips, restructured, plain', 'Banana, raw']",39.82,7.45,220.74,2.29,USA,metric,"For a snack, I'm having 20 grams of plain restructured potato chips along with a 126-gram raw banana."
"['Spaghetti and meatballs dinner, NFS, frozen meal']",53.31,12.0,400.02,19.75,USA,metric,"For dinner, it’s a frozen spaghetti and meatballs dish that weighs 354 grams."
"['Chicken fillet sandwich, from school cafeteria', 'Milk, low fat (1%)']",40.08,9.74,335.84,21.7,USA,metric,"For lunch, I had a 92.0g chicken fillet sandwich from the school cafeteria and a 244.0g glass of low-fat milk."
"['Jelly sandwich, regular jelly, on white bread', 'Infant formula, ready-to-feed (PediaSure)']",56.4,12.91,379.52,9.95,USA,metric,"During the infant feeding, there’s a 50-gram jelly sandwich on white bread and a bottle of 248 grams of PediaSure."
"['Coffee cake, crumb or quick-bread type']",33.3,11.49,247.65,4.15,USA,metric,I have a piece of quick-bread type coffee cake weighing 65 grams for lunch.
"['Soft drink, cola', 'Milk chocolate candy, plain', 'Hard candy']",50.209999999999994,6.27,256.48,1.38,USA,metric,"For my snack, I'm enjoying 372 grams of cola, 18 grams of plain chocolate candy, and a gram of hard candy."
"['Apples and sweet potatoes, baby food, strained']",17.29,0.25,72.32,0.34,USA,metric,"I have a serving of baby food with apples and sweet potatoes, weighing 113 grams for breakfast."
"['Chicken noodle dinner, baby food, strained']",8.83,3.64,83.62,3.99,USA,metric,I'm eating a dinner of 113 grams of chicken noodle baby food.
"['Croissant sandwich with bacon, egg, and cheese']",29.48,21.48,378.59,16.93,USA,metric,"I’ve got a croissant sandwich with bacon, egg, and cheese weighing 131 grams for breakfast."
"['Rice, white, cooked, no added fat']",44.22,0.44,203.82,4.22,USA,metric,"For dinner, it's just 158 grams of cooked white rice."
"['Yogurt, Greek, low fat milk, fruit']",30.11,6.3,257.25,20.02,USA,metric,"I'm enjoying 245 grams of Greek yogurt for dinner, and it’s low-fat with some fruit added."
"['Apple, raw', 'Banana, raw', 'Breakfast tart']",129.15,10.44,613.74,6.13,USA,metric,"For a snack, I have a raw apple weighing 165 grams, a raw banana that’s 126 grams, and a breakfast tart that’s 108 grams."
"['Oatmeal, regular or quick, made with water, no added fat']",55.1,5.29,310.4,10.72,USA,metric,I’ve got a big bowl of 485 grams of oatmeal made with water and nothing else for breakfast.
"['Pork chop, fried, lean and fat eaten', 'Potato, home fries, NFS']",18.4,21.54,365.90999999999997,24.35,USA,metric,"Dinner consisted of a pork chop, fried and lean, weighing 81 grams, paired with 100 grams of home fries."
"['Beer', 'Coffee, brewed']",12.78,0.07,158.4,2.09,USA,metric,I’m enjoying a snack that includes 360 grams of beer and 360 grams of coffee I brewed.
"['Butter, stick', 'Bagel']",55.01,12.75,377.58,11.209999999999999,USA,metric,"For breakfast, I'm having a bagel that weighs 105 grams with 14 grams of butter on it."
"['Cheeseburger, from fast food, 1 medium patty', 'Ketchup']",35.379999999999995,26.77,507.22,29.75,USA,metric,I grabbed a cheeseburger that weighs 165 grams and added 17 grams of ketchup.
"['Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)']",26.0,4.0,148.05,2.0,USA,metric,I grabbed a 35-gram yogurt-coated granola bar for my breakfast.
"['Cereal or granola bar, lowfat, NFS', 'Ice cream cone, vanilla, prepackaged']",51.66,22.79,434.22,5.95,USA,metric,My snack today includes a low-fat cereal bar weighing 24 grams and a prepackaged vanilla ice cream cone that weighs 95 grams.
"['Water, bottled, unsweetened', ""Cereal (Kellogg's Frosted Flakes)""]",36.57,0.69,151.29,1.62,USA,metric,"This morning, I'm having 41 grams of Frosted Flakes alongside 240 grams of bottled water."
"['Popcorn, ready-to-eat packaged, butter flavored']",14.95,9.11,148.4,2.49,USA,metric,"For a little snack, I'm having 28 grams of ready-to-eat popcorn with butter flavor."
"['Snack mix', 'Milk shake, fast food, flavors other than chocolate']",96.91,33.58,739.96,15.61,USA,metric,I’m snacking on 28 grams of snack mix and a 405-gram milk shake from a fast food restaurant.
"['Roll, sweet, cinnamon bun, frosted', 'Water, tap']",43.74,23.95,406.8,4.0,USA,metric,"For breakfast today, I'm enjoying a 90-gram frosted cinnamon bun and 240 grams of tap water."
"['Soft drink, cola, diet', 'Croissant']",27.15,12.08,238.61999999999998,5.07,USA,metric,"For lunch, I have a 360-gram diet cola and a 57-gram croissant."
"['Barley, fat added']",46.29,4.62,236.3,3.74,USA,metric,I had 170 grams of barley with fat for breakfast.
"['Prune, dried']",5.11,0.03,19.2,0.17,USA,metric,I'm enjoying 8 grams of dried prunes as a snack.
"['Milk, fat free (skim)', 'Grilled cheese sandwich, American cheese, on wheat bread', 'Potato chips, restructured, reduced fat, lightly salted']",55.900000000000006,27.96,562.68,22.959999999999997,USA,metric,"I'm enjoying a dinner of 244 grams of skim milk, along with a grilled cheese sandwich on wheat bread with American cheese, which is 116 grams. I also have 20 grams of reduced-fat potato chips on the side."
"['Apple, raw', 'Water, tap']",27.62,0.34,104.0,0.52,USA,metric,"For lunch, I’ll be eating a raw apple weighing 200 grams along with 240 grams of tap water."
"['Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread', 'Apple, raw']",76.0,19.08,506.08,14.59,USA,metric,"For lunch, I'm having a peanut butter and jelly sandwich made with regular peanut butter and jelly on wheat bread (112.0g), along with a raw apple (200.0g)."
"['Nutrition bar or meal replacement bar, NFS', 'Popcorn, microwave, butter flavored, light', 'Cereal or granola bar (General Mills Fiber One Chewy Bar)']",73.97,12.809999999999999,481.47,17.58,USA,metric,"For a quick snack, I have a 34g nutrition bar, 43g of light butter popcorn, and a 40g Fiber One chewy bar."
"['Breakfast tart', 'Water, tap']",77.58,9.74,415.8,4.33,USA,metric,"I’m starting my day with a Breakfast Tart that weighs 108 grams, along with 240 grams of tap water."
"['Ravioli, meat-filled, with tomato sauce or meat sauce, canned', 'Water, tap']",33.28,8.56,243.47,8.13,USA,metric,I ate 251 grams of ravioli with tomato sauce and drank 240 grams of tap water for dinner.
"['Ice cream sandwich, vanilla', 'Popcorn, microwave, plain']",74.5,35.26,655.3,10.6,USA,metric,"For a snack, I'm having a vanilla ice cream sandwich that weighs 75 grams and 85 grams of plain microwave popcorn."
"['Steak and cheese submarine sandwich, with lettuce and tomato', 'Pear, raw', 'Apple juice, 100%']",118.31,14.530000000000001,721.0,32.910000000000004,USA,metric,"For lunch, I'm having a 260g steak and cheese submarine sandwich with lettuce and tomato, a 180g raw pear, and 310g of 100% apple juice."
"['Water, bottled, unsweetened', 'Tuna salad wrap sandwich', 'Pickles, sweet']",38.349999999999994,29.98,513.5699999999999,21.55,USA,metric,"For dinner, I have a 201g tuna salad wrap sandwich, a side of 21g sweet pickles, and I'm drinking 360g of bottled water."
"['Egg white omelet, scrambled, or fried, made with oil', 'Salsa, red, commercially-prepared', 'Tortilla, whole wheat', 'Coffee, brewed']",22.65,13.489999999999998,289.64,18.63,USA,metric,"For breakfast, I'm having a 135g egg white omelet cooked in oil, with 16g of red salsa on the side, a 45g whole wheat tortilla, and a cup of brewed coffee weighing 240g."
"['Banana, raw', 'Popcorn, air-popped, unbuttered']",34.980000000000004,0.78,142.94,2.4000000000000004,USA,metric,"For a snack, I'm having a raw banana weighing about 126 grams and 8 grams of air-popped popcorn without butter."
"['Cookie, chocolate chip', 'Iced Coffee, brewed']",29.41,11.239999999999998,227.4,2.84,USA,metric,I’m snacking on a chocolate chip cookie that’s 45 grams along with a 600-gram iced coffee.
"['Chicken breast, sauteed, skin not eaten', 'Potato, french fries, from frozen, baked']",15.33,6.5600000000000005,200.39999999999998,19.419999999999998,USA,metric,"For dinner, I'm having 60 grams of sautéed chicken breast without the skin and 60 grams of baked French fries from frozen."
"['Soft drink, fruit flavored, caffeine free', 'Pizza with pepperoni, from frozen, medium crust']",108.36,27.15,793.78,29.77,USA,metric,Dinner consists of a 238-gram slice of pepperoni pizza and a 372-gram serving of a caffeine-free fruit soft drink.
"['Potato chips, barbecue flavored', 'Water, bottled, unsweetened']",15.66,8.7,136.36,1.82,USA,metric,"For my brunch, I'm enjoying 28 grams of barbecue chips along with 507 grams of water."
['Meat loaf made with beef'],3.02,4.49,84.0,7.35,USA,metric,"For my dinner, I've got 42 grams of beef meat loaf."
"['Cookie, brownie, reduced fat, NS as to icing']",30.79,4.84,172.5,1.38,USA,metric,I have a 50g reduced-fat brownie cookie for a quick snack.
"['Soft drink, pepper type', 'Potato, french fries, fast food', 'Chicken fillet sandwich, fried, from fast food, with cheese']",191.23000000000002,53.16,1342.5900000000001,27.490000000000002,USA,metric,"For lunch, I've got a large 744g soft drink, a side of 180g fast food french fries, and a 161g fried chicken sandwich with cheese."
"['Coffee, brewed', 'Coffee creamer, liquid, sugar free, flavored']",1.36,0.5700000000000001,13.05,0.41,USA,metric,"For my snack, I’ve got 240 grams of brewed coffee and 15 grams of liquid sugar-free flavored creamer."
"['Sports drink, low calorie (Gatorade G2)', 'Chicken breast, fried, coated, skin / coating eaten, from pre-cooked']",18.560000000000002,28.759999999999998,504.75,40.169999999999995,USA,metric,I’m enjoying 240 grams of Gatorade G2 along with 195 grams of fried chicken breast for lunch.
"['Soft drink, cola', 'Whiskey']",38.54,0.93,301.77,0.0,USA,metric,"For a snack, I'm having a cola soft drink (372.0g) and some whiskey (63.0g)."
['Burrito with meat and beans'],27.97,19.19,358.56,18.36,USA,metric,"I'm enjoying a burrito for dinner, and it weighs 166 grams with meat and beans inside."
"['Water, bottled, unsweetened', 'Chicken, bacon, and tomato club sandwich, with lettuce and spread']",95.38,38.64,1056.0,82.51,USA,metric,"I’ve got 240 grams of bottled water and a 480-gram chicken, bacon, and tomato club sandwich for lunch."
"['Cheeseburger (McDonalds)', 'Iced Coffee, pre-lightened and pre-sweetened']",58.64,21.13,483.0,16.39,USA,metric,"For lunch, I'm having a McDonald's cheeseburger that weighs 110 grams along with an iced coffee that's 620 grams."
"['Chicken breast, fried, coated, prepared skinless, coating eaten, from raw', 'Broccoli raab, cooked', 'Rice, white, with vegetables, cheese and/or cream based sauce, fat added']",63.53,36.59,820.42,58.21,USA,metric,"For dinner, I've got 165 grams of fried chicken, some cooked broccoli raab weighing 170 grams, and 262 grams of white rice with a creamy sauce."
"['Ice cream, vanilla', 'Milk, low fat (1%)', 'Orange, raw']",48.46,10.75,332.55,12.32,USA,metric,"For a quick snack, I'm having 75 grams of vanilla ice cream, a cup of low-fat milk that’s 244 grams, and a 154-gram orange."
"['Nutrition bar or meal replacement bar, NFS']",15.3,4.76,144.84,10.2,USA,metric,"For a snack, I’m eating a 34g meal replacement bar."
['Popsicle'],9.62,0.12,39.5,0.0,USA,metric,I'm snacking on a 50g Popsicle right now.
"['Broccoli, frozen, cooked with oil', 'Brussels sprouts, frozen, cooked, fat added']",22.740000000000002,10.4,201.5,11.350000000000001,USA,metric,Lunch today consists of 190 grams of frozen broccoli cooked in oil and 160 grams of frozen Brussels sprouts that have fat added.
"['Egg, whole, boiled or poached', 'Water, tap']",0.36,4.76,71.5,6.28,USA,metric,"For breakfast, I had a 50-gram boiled egg and a glass of 240 grams of tap water."
"['Cheese, Colby Jack', 'Cereal or granola bar, with coconut, chocolate coated']",23.09,22.049999999999997,326.57,8.969999999999999,USA,metric,"For brunch, I'm having some Colby Jack cheese, about 28.35 grams, along with a chocolate-covered granola bar with coconut that weighs 41 grams."
"['Peanut butter', 'Freezer pop']",13.19,8.299999999999999,135.01999999999998,3.6,USA,metric,"For a snack, I'm having 16 grams of peanut butter and a 50-gram freezer pop."
"['Beer, light', 'Water, bottled, unsweetened']",5.9,0.0,104.4,0.86,USA,metric,I'm enjoying a snack of 360 grams of light beer and 360 grams of water.
"['Tomato soup, cream of, prepared with milk', 'Grilled cheese sandwich, American cheese, on white bread']",58.21,25.330000000000002,527.8,18.44,USA,metric,"I’ve got a bowl of cream of tomato soup with milk, about 248 grams, paired with a 116-gram grilled cheese sandwich on white bread."
['Sausage on biscuit'],35.09,28.57,434.07,11.31,USA,metric,"This morning, I’m having a 117-gram biscuit with sausage."
['Energy drink (Red Bull)'],38.06,0.0,159.96,1.71,USA,metric,I’ve got a Red Bull energy drink that weighs 372 grams for lunch.
